actor_id,name,birthYear
nm0000686,Christopher Walken,1943
nm0000696,Wil Wheaton,1972
nm0000700,Debra Winger,1955
nm0000701,Kate Winslet,1975
nm0000706,Michelle Yeoh,1962
nm0000707,Sean Young,1959
nm0000708,Billy Zane,1966
nm0000714,Willie Aames,1960
nm0000716,Paula Abdul,1962
nm0000721,Victoria Abril,1959
nm0000729,Casey Affleck,1975
nm0000739,Debbie Allen,1950
nm0000782,Asia Argento,1975
nm0000792,Tom Arnold,1959
nm0000796,Dana Ashbrook,1967
nm0000799,Edward Asner,1929
nm0000800,Armand Assante,1949
nm0000803,Christopher Atkins,1961
nm0000818,Shabana Azmi,1950
nm0000820,Burt Bacharach,1928
nm0000821,Amitabh Bachchan,1942
nm0000834,Kathy Baker,1950
nm0000838,Daniel Baldwin,1960
nm0000849,Javier Bardem,1969
nm0000869,Alan Bates,1934
nm0000870,Kathy Bates,1948
nm0000871,Randall Batinkoff,1968
nm0000882,Nathalie Baye,1948
nm0000893,Ed Begley Jr.,1949
nm0000920,Patrick Bergin,1951
nm0000925,Steven Berkoff,1937
nm0000929,Corbin Bernsen,1954
nm0000932,Halle Berry,1966
nm0000953,Peter Bogdanovich,1939
nm0000960,Barry Bostwick,1945
nm0000961,Timothy Bottoms,1951
nm0000962,Carole Bouquet,1957
nm0000969,Lillo Brancato,1976
nm0000980,Jim Broadbent,1949
nm0000995,Ellen Burstyn,1932
nm0000996,LeVar Burton,1957
nm0001002,Dean Cain,1966
nm0001019,Robert Carradine,1954
nm0001028,Maxwell Caulfield,1959
nm0001045,Tommy Chong,1938
nm0001057,Toni Collette,1972
nm0001075,Peter Coyote,1941
nm0001092,Mark Dacascos,1964
nm0001097,Charles Dance,1946
nm0001107,Stacey Dash,1967
nm0001108,Robert Davi,1951
nm0001117,Bruce Davison,1946
nm0001132,Judi Dench,1934
nm0001136,Bruce Dern,1936
nm0001151,Stephen Dorff,1973
nm0001166,James Duval,1972
nm0001173,Aaron Eckhart,1968
nm0001183,Bodhi Elfman,1969
nm0001191,Adam Sandler,1966
nm0001194,Jeff Fahey,1952
nm0001200,Gary Farmer,1953
nm0001213,Harvey Fierstein,1954
nm0001218,Sean Patrick Flanery,1965
nm0001227,Megan Follows,1968
nm0001233,Robert Forster,1941
nm0001235,William Forsythe,1955
nm0001236,Meg Foster,1948
nm0001251,Peter Gallagher,1955
nm0001255,Victor Garber,1949
nm0001277,Scott Glenn,1939
nm0001283,Louis Gossett Jr.,1936
nm0001287,Heather Graham,1970
nm0001288,Kelsey Grammer,1955
nm0001295,Graham Greene,1952
nm0001298,Richard Grieco,1965
nm0001305,Lukas Haas,1976
nm0001314,John Hannah,1962
nm0001315,Marcia Gay Harden,1959
nm0001324,Ian Hart,1964
nm0001326,Josh Hartnett,1978
nm0001343,Carrie Henn,1976
nm0001348,Werner Herzog,1942
nm0001354,Ciarn Hinds,1953
nm0001357,Paul Hogan,1939
nm0001367,C. Thomas Howell,1966
nm0001376,Isabelle Huppert,1953
nm0001384,Ice-T,1958
nm0001393,Irne Jacob,1966
nm0001399,Marianne Jean-Baptiste,1967
nm0001409,Tchky Karyo,1953
nm0001416,Catherine Keener,1959
nm0001424,Udo Kier,
nm0001427,Greg Kinnear,1963
nm0001439,Anthony LaPaglia,1959
nm0001444,Lorenzo Lamas,1958
nm0001454,Martin Lawrence,1965
nm0001458,Cloris Leachman,1926
nm0001464,Kay Lenz,1953
nm0001472,Jet Li,1963
nm0001473,Laura Linney,1964
nm0001477,Robyn Lively,1972
nm0001484,Jon Lovitz,1957
nm0001505,Joe Mantegna,1947
nm0001520,Christopher McDonald,1955
nm0001542,Jay Mohr,1970
nm0001550,Cathy Moriarty,1960
nm0001557,Viggo Mortensen,1958
nm0001567,Connie Nielsen,1965
nm0001575,Tatum ONeal,1963
nm0001586,Joanna Pacula,1957
nm0001595,Michael Par,1958
nm0001598,Robert Patrick,1958
nm0001599,Will Patton,1954
nm0001600,Adrian Paul,1959
nm0001602,Guy Pearce,1967
nm0001609,Rosie Perez,1964
nm0001614,Lori Petty,1963
nm0001617,Lou Diamond Phillips,1962
nm0001638,Jrgen Prochnow,1941
nm0001643,Linnea Quigley,1958
nm0001646,Ted Raimi,1965
nm0001648,Charlotte Rampling,1946
nm0001650,Michael Rapaport,1970
nm0001653,Stephen Rea,1946
nm0001664,James Remar,1953
nm0001674,Chris Rock,1965
nm0001690,Jennifer Runyon,1960
nm0001696,Julian Sands,1958
nm0001701,Devon Sawa,1978
nm0001709,Til Schweiger,1963
nm0001714,Campbell Scott,1961
nm0001720,Ivan Sergei,1971
nm0001721,Chlo Sevigny,
nm0001728,Wallace Shawn,1943
nm0001736,Pauly Shore,1968
nm0001744,Tom Sizemore,1961
nm0001757,Kevin Sorbo,1958
nm0001758,Timothy Spall,1957
nm0001759,Vincent Spano,
nm0001763,Nick Stahl,1979
nm0001765,Harry Dean Stanton,1926
nm0001767,Imelda Staunton,1956
nm0001772,Patrick Stewart,1940
nm0001785,Kristy Swanson,1969
nm0001786,George Takei,1937
nm0001787,Jeffrey Tambor,1944
nm0001794,Henry Thomas,1971
nm0001803,Danny Trejo,1944
nm0001804,Stanley Tucci,1960
nm0001824,Ally Walker,1961
nm0001828,Melora Walters,1960
nm0001830,Sophie Ward,1964
nm0001836,Steven Weber,1961
nm0001845,Forest Whitaker,1961
nm0001848,Dianne Wiest,1946
nm0001851,JoBeth Williams,1948
nm0001860,Alicia Witt,1975
nm0001872,Steve Zahn,1967
nm0001882,Olivia dAbo,1969
nm0001926,Joan Baez,1941
nm0001929,Josiane Balasko,1950
nm0001941,Iris Berben,1950
nm0001943,Marisa Berenson,1947
nm0001953,Moritz Bleibtreu,1971
nm0001963,Jesse Borrego,1962
nm0001970,Klaus Maria Brandauer,1943
nm0001987,Tantoo Cardinal,1950
nm0001990,Elpidia Carrillo,1961
nm0001993,Vincent Cassel,1966
nm0001997,Patricia Charbonneau,1959
nm0002003,David Chokachi,1968
nm0002004,Sarita Choudhury,1966
nm0002008,Eric Clapton,1945
nm0002027,Ben Cross,1947
nm0002029,Maria Grazia Cucinotta,1968
nm10867581,Kulwant Singh Dhillon,
nm10867728,Paras Randhawa,
nm10867742,Amit Deondi,
nm10867763,Moon Seung-ah,
nm10868757,Steven Skipper,
nm10869009,Louie Lowe,
nm10869349,Michael Nangle,
nm1086956,Gustave Kervern,1962
nm10869590,Taylor Farrow,
nm10869615,Josh Vance,
nm10869659,Monika Chaudhary,
nm10869660,Ejaz Ahmed,
nm10870358,Ashleigh Gantert,
nm10870359,Aly Dynda,
nm10870560,Arthur James Richardson,
nm10870605,Nina Holley,
nm1087081,Andrew E.,1967
nm10870914,Si-ah Kim,2008
nm10871371,Austin Ezeh,
nm10872042,Waka Misono,1999
nm10872187,Joseph Stam,
nm10872235,Maria Shchensnyak,
nm10872709,Tajuan Woodson,
nm10872755,Charlotte Nijs,
nm1087303,Paco Saldaa,
nm10873189,Jiaying Yan,1993
nm10873385,Tamara Givens,
nm10874878,Sydney Spencer,
nm10875380,Dumitru Ionascu,
nm10875909,Curtis Simpson,
nm10876127,Fran Booth,
nm10876128,Dominic Bova,
nm10876298,K K Binojee,
nm10876510,Truc May,
nm10876519,Nomtoibayar Noba,
nm10876521,Dc Glaza,
nm10876524,Pola Galica Galoch,
nm10876698,Stephen Odimgbe,
nm10876912,Kdr L. Gellrt,
nm10877154,Snelle,
nm10877226,Tatiana Borie,
nm10877326,Tiffany Thomas,
nm10877363,Mikaela Bertholf,
nm10878269,Sakura Sotomura,
nm10878298,Saad Anjum,1992
nm10878514,Junyao Li,
nm10878654,Murugan Govindhasamy,
nm10878834,Sekou Coulibaly,
nm10878997,David A Katz,
nm10879279,Samuel Nicholls,
nm10879327,Amy Davies,
nm10879792,Cristian Kelly,
nm10880402,Samantha Orozco,
nm10880403,Irving Aranda,
nm10881119,Mary Paz,
nm10881538,Gaddapa,
nm10881822,Griffin Murray-Johnston,
nm10881873,Aditi Patel,
nm10881928,Tsvetan Aleksiev,
nm10881980,Jenzie Swanson,
nm10882425,Mikaela Dundalova,
nm10882496,Alex Smart,
nm10882528,Kate Foster,
nm10882750,Caitlin Beck Wroclawski,
nm10882917,Chiara Shakti Cincis,
nm10883206,Moa Subong,
nm10883283,Jacob Beardmore,
nm10883493,Jade Cardozo,
nm10883497,Manobala Mahadevan,
nm10883613,Kpn Chawan,
nm10883637,Caleb Lisitsin,
nm10883638,Nicholas Lisitsin,
nm10883639,Adam Corey,
nm10883849,Beenish Raja,
nm10884239,JohnComedianThompson,
nm10884310,Amie Kieffer,1976
nm10884444,Arya Chaturvedi,
nm10884446,Muskaan Sinha,
nm10884447,Jagriti Tiwadi,
nm10884767,Wojciech Galzinski,
nm10884869,Ofri Shemesh,
nm10884922,Noam Kaniel,
nm10884923,Liron Matzas,
nm10886068,Abdkrim Djbli,
nm10886070,Chakib Boulaiche,
nm10886071,Erramdani Abdilah,
nm10886306,Chandra Smartt-Spicer,
nm10886666,Jane Bond,
nm10886841,Nicholas Vasseur,
nm10886852,Britt Crisp,
nm10886991,Mason Taylor,
nm10887111,Leroy Moore Jr.,
nm10887518,Emily Rittammer,
nm10887915,William Beller,
nm10888445,Ena Koume,
nm10888509,Valentina Anselmi,
nm10888510,Omar Vestri,
nm10888880,Juan Galvis,
nm10889682,James Wright,
nm10890077,Verrokco Jones,
nm1089063,Argyris Bakirtzis,1947
nm10890811,Aravind Rajagopal,
nm1089136,Karin Bertling,1937
nm10891628,Raul Chacon,
nm10891787,Sheri Rayray,
nm10892100,Andrey Pfening,
nm10892101,Juliana Frick,
nm10892641,Natassja Milton,
nm10892799,Jamel Rice,
nm10892880,Brenda Lua,
nm10893632,Antnio Faleiro,
nm10893971,Scott Burgess,
nm10894454,Rosie Mahon,
nm10894778,Jin Chang,
nm10894849,Reyhaneh Razi,
nm1089515,Abe Dijkman,
nm10895191,Megan Dembo,
nm1089569,Rebecca Drysdale,
nm10896619,Ganesh Bandi,
nm10896622,Kishore Babu,
nm10896629,Srinivasa Rao Bethapudi,
nm10896630,Dinesh Akki,
nm10896765,Sanskriti Bhatt,
nm10896805,Johan Sundstein,
nm10896806,Jesse Vainikka,
nm10896807,Sbastien Debs,
nm10896808,Topias Taavitsainen,
nm10896809,Anathan Pham,
nm10896848,Sahithi Avancha,2003
nm10897098,Mr. Whoa Boi,
nm10897331,Mirnaa,1992
nm10897889,Krystal Davis,
nm10898835,Nikol Pashinyan,1975
nm1089900,Martina Gusmn,1978
nm10899030,Andrea Marozzo,
nm10899166,Matias Quiroga,1989
nm10899678,Marcus Jackson,
nm10900126,John Patrick Costello,
nm10900172,Victor Ivn,
nm10900389,Anthony Hudson,
nm10900532,Pat Hornsberger,
nm10900601,Seth Beckson,
nm10900602,X.R. Chavez,
nm10900680,Exzinia Scott,
nm10900759,Jodhan Raj,
nm1090102,Gabija Jaraminaite,1972
nm10901462,Mohammad Taghi Lon Amiz,
nm10902118,Bianca Panconi,
nm10902312,Beau Bastian Jacobs,
nm10902317,Rebecca Taylor,
nm10902589,Greg Python Gilbert,
nm10903078,Nikita Dubrovina,
nm10903207,Hajar Boulayoun,
nm10903835,Jamie Eddy,
nm10904274,Eddie Lederer,
nm10904961,Camilla Hiepko,
nm10904964,Gerald Hbner,
nm1090509,Tyler Maddox,
nm10905544,Polina Strogaya,
nm10905634,Yoanna Dragneva,
nm10905635,Maria Grancharova,
nm10905709,Mike Lachance,
nm10905710,Mikhail Ryabkov,
nm10905857,Madison Hudak,
nm10905995,Valeriya Turenko,
nm10905997,Michael Wilkinson-Koelzer,
nm1090602,Bryce McLaughlin,1972
nm10906363,Marcos Alberto Filho,
nm1090693,Sally Mortemore,1961
nm1090815,Ross OHennessy,
nm1090865,Hunter Page-Lochard,1993
nm10908848,Adela Drabek,
nm10909453,Dale Savage,
nm10910136,Alan Kim,2012
nm10910935,Linda Barcan,
nm10912029,Henry Jollands,
nm10914128,Virginia DUmas,
nm10914464,Gabriela Adarve,
nm10914739,Mitch Collins,
nm10914740,Annie Collins,
nm10914746,Amanda Arrants,
nm10914748,Jake Balser,
nm10915423,Malachia Pauling,
nm10915649,YaNan Li,
nm10916038,Heike Berg,
nm10916039,Bettina Bruer,
nm10916045,Bernd Drwald,
nm10916048,Pasquale Ponzi,
nm10916049,Michael Avemaria,
nm10916050,Michael Anton,
nm10916051,Timo Dassinger,
nm10916052,Ingo Burger,
nm10916145,Jeffrey Leong,
nm10916747,Saima Azhar,
nm10916782,Yuria Yoshine,1992
nm1091701,Denzel Whitaker,1990
nm10917117,Tommy Maddox,
nm10917179,Adianez Verdecia,
nm10917381,Larken Woodward,
nm10917892,Brent Beaty,
nm10918052,Tony Elias,
nm10918168,Dan Brookman,
nm10918251,Dakota Dagostino,
nm10918432,Preston Rozwood,
nm10918555,LuMing Zhang,
nm10918564,Jose Anthony,
nm1091878,Ivan Barnev,1973
nm10919074,Kaajal Kunder,
nm10919128,Christopher Joseph Meigs,
nm10919426,Daisuke Nakagawa,
nm10919427,Shuya Sunagawa,
nm10919710,Sofia Iacuitto,
nm10919994,Thanh Truc Huynh,
nm1092088,Kent Harper,
nm10921569,Pio Framarin,
nm10921740,Loren Gray,2002
nm10921941,Patrick Bean Jr.,
nm1092227,Sienna Miller,1981
nm10922297,Addie Batson,
nm10922522,Troy Oelke,
nm10922765,Vincent Barronette,
nm10922768,Augie,
nm10922823,Tre Johnson,
nm10923005,Ngan Chi,
nm10923158,Harish Pengan,
nm10923486,Jignesh Modi,
nm1092369,Manz Shinra,1959
nm10924009,Ethan Rodgers,
nm10924215,Alex Mack,1989
nm10924454,Kerwood Canel,
nm10924650,Roni Biswal,
nm10924651,Soumalya Sadhukhan,
nm10924695,Marta Shkop,
nm1092477,Kysuke Yabe,1973
nm10925349,Tobin Cleary,
nm1092540,Tanya Clarke,1972
nm10926318,Harshi Anjumala,
nm10926319,Thusitha Ranaweera,
nm10926671,Mihir Ahuja,1998
nm10926778,Thierry Leblanc,
nm10926779,Frdric Pineau,1978
nm10926780,Thibaud Erpicum,
nm10926781,Houyam Lahsibi,
nm10926782,Philippe Dejean,
nm10927106,Trish McGee,
nm10927148,David O. Anderson,
nm10927615,Mariam Kayode,
nm10928037,Chelsea Tizard,
nm10928844,Archana Mahadev,
nm10929234,Pepa Duarte,
nm10929935,James Ryan Babson,
nm10930002,Vikhyat Swades,
nm10930008,Erica Andreose,
nm10930248,Shaneel Chand,
nm10931157,Luca Gomez,
nm10932005,Sabri Abdulmonem,
nm10932186,Barninee Chakraborty,
nm10932188,Riya Chakraborty,
nm10932713,Jessica Lynn,
nm10933053,Erik Levi,
nm10933266,Glen Terry,
nm10933791,Dan Scoville,
nm10934031,Beti Strgar,1993
nm10934869,Seb Martinez,
nm10934870,Remo Tintin,
nm10935152,Michael Arnel,
nm10935236,Richa Ravi Sinha,
nm10936504,Vinnie Ewart,
nm10936559,Shindy Huang,
nm10937215,Atefeh Amini,
nm10937317,Dujuan Thomas,
nm10937800,Wyatt Gutridge,
nm10937964,Dre Nuzum,
nm10938039,Billy Zane,
nm10938562,Amir Hossein Sadeghi,
nm10938563,Negin Parsa,
nm10938564,Fatemeh Khodadad,
nm10938735,Jordan Mckenna,
nm10938736,Lee Joe Smith,
nm10939400,Lily Megan Wilson,
nm1094012,Nithiin,1983
nm10940225,Rajkumar Jarange,1994
nm10940650,Gurjeet Singh Channi,
nm10940767,Chris Barnett,
nm10941307,Ines Bushatsky,
nm1094137,Molly Gordon,1994
nm10941415,Celeste Canales,
nm10942272,Damarcus Price,
nm10942337,Noel Cho,
nm10942415,Tj Montgomery,
nm10942416,Joey Harris,
nm10944245,Dennis Davis,
nm10944250,Kenneth Campbell,
nm10944253,Tiffany Collins,
nm10944254,Terrell Bogany,
nm10944730,Kevin Cheek,
nm10944732,Donte Madison,
nm10944739,Tracy Woodard,
nm10944740,Cherie Gofarth,
nm10944840,Paula K. Brown,
nm10944849,Douglas Burks Sr.,
nm10945686,Prem Dubey,
nm10945854,Jordan Rielley,
nm10949050,Nilesh Bhrahmbhatt,
nm10949617,Olimpia Bogusz,
nm10949802,Yolanda de Paulo,
nm10949803,Gabriela Pimenta,
nm10949804,Vini Hideki,
nm10950023,Anissa Alcantara,
nm10950081,Sofia Alvarez,
nm10951053,Oxana Chic,
nm10951426,Park In-Soo,
nm10951571,Ashley Clarredge,
nm10951576,Leo Broadhead,
nm10951577,Jordan Flynn,
nm10951800,Renee Poinard,
nm10952429,Logan E. West,
nm1095259,Chico Benymon,1974
nm10953857,Fereshteh Alousi,
nm1095418,Audrey Bonnefoy,
nm10954223,Kalyssa Belzer,
nm10954652,Karen Anderson,
nm10954658,Derek Albright,
nm10954659,Adeline Bishop,
nm10954660,Melissa Bordelon,
nm10954661,Ramona Cannon,
nm10955044,Aidan Walsh,
nm10955045,Alec T.,
nm10955046,Justin T.,
nm10955047,Matthew V.,
nm10955116,Sarah Lou Wicks,
nm10955179,Ikenna Alily,
nm10955236,Daniel C Kennedy,
nm10956207,Maria Chulova,
nm10956328,Garik Hovhannissyan,
nm10956329,Armenuhi Burmanyan,
nm10956331,Metin Emlek,
nm10956332,Soma Hovhannissyan,
nm10957087,Tony Ashley,
nm10957320,Lily Okubo,
nm10957488,Me-Mei Monae,
nm10957489,Yellie Belle,
nm10958022,Chika Lann,
nm10958166,Liam Lake,
nm10958222,Tony Nobody,
nm10958895,Boog the Bandit,1994
nm10959249,Thierno Diallo,1996
nm10959572,Predrag Vasovic,
nm10959994,Madelyn Moon,
nm10960501,Jimmy Kayden,
nm10960539,Leander Beatty,
nm10960655,Ha Quoc Hoang,
nm10961178,Nomi Dabrowski,
nm10961445,Karen Hunter,
nm10961589,Adam Clark,
nm10961889,Ty England,
nm10962169,Viviana Castro,
nm10962778,Dayami Alcaraz,
nm10963685,Nehesh Poll,
nm10963686,Akshara Suresh,
nm10963687,Gokul Kesavan,
nm10965049,Gustavo Silvestre,
nm10965349,Aleksandr Bulatov,2007
nm10965365,Maurice Jones,
nm10965490,Priyanka Pandit,
nm10965503,Carl Clark,
nm10965639,So-Hyun Gam,
nm1096575,Max Faugno,
nm10965884,Adam Mitchell,
nm10966962,Summer-Joules,
nm10967296,Niloofar Soleimani,
nm10967445,Claritza Brown,
nm10967492,Alessandra Barile,
nm10967654,Trevor Burke,
nm10967655,Charles Askenaizer,
nm10967767,Camila Carreo,
nm10967911,Theresa Cannistraci-Farrell,
nm10968119,Adla Mskov,
nm1096816,Mike Gassaway,
nm10968384,Cetin Buyukakin,
nm10968810,Gianluca Potenziani,
nm10969248,Olivia Abromeit,
nm10969426,Pavel Fontes,
nm10971116,Motasem Al-Nahar,
nm10971239,Charlie Hitt,
nm10971622,Tommaso Di Cola,
nm10972207,Oleg An,
nm10972253,Jimena Daz,
nm10972443,Caitlin Revanna,
nm10973045,Anna Prykhodko,
nm10973055,Khalid Abbadi,
nm10973056,Bushra Ahmadi,
nm10973059,Hannah Reyes,
nm10973376,Axel Matthew Thomas,
nm10973398,Ocean Emerald,
nm1097351,Glenn Howerton,1976
nm1097364,Rob Huebel,1969
nm10973811,Viviana Scardigno,
nm10973857,P.J. Burr,
nm10974386,Suhas Bhujbal,
nm10974387,Frangene Andrews,
nm10974388,Natalia Brouillette,
nm10974410,Bella-Dog,
nm1097515,Jimmy Jean-Louis,1968
nm10975161,Stephanie Troiano,
nm10975522,Lu Tian,1982
nm10975842,Charlie Howard,
nm10975843,Genevieve Lewis,
nm10975965,Taylor Adkin,
nm10976056,Jazib Akram,
nm10976057,Talha Chahour,
nm10976061,Habib Chaudhary,
nm10976062,Amna Azmat,
nm10976063,Tayyab Arif,
nm10976065,Jalal Ud Din,
nm10976325,Neil Skeggs,
nm10976429,Brendan Goodwin,
nm10976579,Narendra Singh Dhami,2002
nm10976808,Sebastian Kahuna,
nm10977156,Tommy Anthony Williams,
nm10977243,Ajay Gautam,
nm10977244,Harsh Kumar,
nm10977246,Madhu Narayan,
nm1097739,Kiyohiko Shibukawa,1974
nm10977489,Cyril Mackowiak,
nm10977492,Ashley Hays Wright,
nm10977787,Auzi Capri,
nm10978382,Clark Russell,
nm10978660,Brian D. Cohen,
nm10978786,Larisa Kakoeva,
nm10978828,Matthew Loveridge,
nm10978973,Justin Duvall,
nm10978974,S. Airon Ramsey,
nm10978976,McKensie Binau,
nm1097997,Jannike Kruse,1975
nm10980229,Pavlos Kofidis,
nm10980230,Tina Bolovi,
nm10980231,Pavlos Tripodakis,
nm10980315,Lucia Caporaso,
nm10980316,Alessandro Anglani,
nm10980317,Sabrina Carnevale,
nm10980690,Michelle Cortez,
nm10980710,Eric Henderson,
nm10980912,Laura Garda,
nm10981302,Tori Coss,
nm10981402,Blaze Sims,
nm10981900,Danil Ivanov,1992
nm10982513,Giorgio Montanini,
nm10983393,Karim Camara,
nm10984245,Andres Cladera,
nm10984404,Ian Camilotes,
nm10984723,Sathyanath,
nm10985283,Dae-Shon Trimble,
nm10985506,Janaya Hanley,
nm10985554,John Swingle,
nm10986067,Mac Clemons,
nm10986068,Justin Dormitzer,
nm10986165,Lucas Pihlajamaa,
nm10986493,Terry Hamel,
nm10987369,Lorenzo Buonora,
nm10988142,Susanna Pukkila,
nm10988347,Febby Twigs,1996
nm1098878,Periklis Moustakis,
nm10989021,Ideh Abutalebi,
nm10989022,Maryam Akbari,
nm10989023,Pegah Hamidifar,
nm10989029,Nazanin Alidoust,
nm10989307,Sloan Summers,
nm10989630,Mattia Garaci,
nm10990229,Zane Talkington,
nm10990270,Shay McDowell,
nm10990529,Shu Ya Xin,
nm10991152,Sara Granato,
nm10991694,Audrey OBryon,
nm10991909,Dilip Arya,
nm10991910,Shashi Chaturvedi,
nm1099195,Mayu Ozawa,1980
nm10992166,Santhini Anthony,
nm10992167,Sai Sanggeetha,
nm10992171,Eswar Ji,
nm10992175,Pavin Raymond,
nm10992290,Gaby Alicea,
nm10992291,Nelson Luquis,
nm10992292,Jaime Coln,
nm10992293,Coralis Mena,
nm10992605,Matthew Ricciuti,
nm10992606,Alessandra Biagiotti,
nm10992906,Ruy Brissac,
nm10992937,Mia Split,2000
nm10992938,Sireah Warden,1988
nm10993021,Jayce Alexander,
nm10993125,Vitalii Hordiienko,
nm10993194,Tao Wang,
nm10994062,Sofia Bono Prado,
nm10994643,Erling Haaland,2000
