show_id,type,title,director,cast,country,release_year,duration,listed_in
s6534,movie,Cool Hand Luke,Stuart Rosenberg,Paul Newman; George Kennedy; J.D. Cannon; Lou Antonio; Robert Drivas; Strother Martin; Jo Van Fleet; Harry Dean Stanton; Dennis Hopper; Joe Don Baker; James Gammon; Wayne Rogers,United States,1967,127 min,Classic Movies; Dramas
s8718,movie,Westerplatte Resists,Stanisaw Rewicz,Zygmunt Hbner; Arkadiusz Bazak; Tadeusz Schmidt; Jzef Nowak; Tadeusz Pluciski; Bogusz Bilewski,Poland,1967,93 min,Classic Movies; Dramas; International Movies
s8736,movie,Who's That Knocking at My Door?,Martin Scorsese,Zina Bethune; Harvey Keitel; Anne Collette; Lennard Kuras; Michael Scala; Harry Northup; Susan Wood; Marissa Mathes; Catherine Scorsese,United States,1967,90 min,Classic Movies; Dramas; Independent Movies
s6474,movie,Chitty Chitty Bang Bang,Ken Hughes,Dick Van Dyke; Sally Ann Howes; Lionel Jeffries; Gert Frbe; Anna Quayle; Benny Hill; James Robertson Justice; Robert Helpmann; Heather Ripley; Adrian Hall; Barbara Windsor; Davy Kaye; Alexander Dor; Bernard Spear; Stanley Unwin,United Kingdom; United States,1968,146 min,Children & Family Movies; Classic Movies; Comedies
s7660,movie,Once Upon a Time in the West,Sergio Leone,Henry Fonda; Charles Bronson; Claudia Cardinale; Jason Robards; Gabriele Ferzetti; Paolo Stoppa; Woody Strode; Jack Elam; Keenan Wynn; Frank Wolff; Lionel Stander,Italy; United States,1968,166 min,Action & Adventure; Classic Movies; International Movies
s7895,movie,Rosemary's Baby,Roman Polanski,Mia Farrow; John Cassavetes; Ruth Gordon; Sidney Blackmer; Maurice Evans; Ralph Bellamy; Patsy Kelly; Elisha Cook Jr.; Emmaline Henry; Charles Grodin,United States,1968,137 min,Classic Movies; Horror Movies; Thrillers
s5462,movie,Prince,Lekh Tandon,Shammi Kapoor; Vyjayantimala; Rajendra Nath; Ajit; Helen; Leela Chitnis; Parveen Choudhary; Sudhir; Sunder; Rashid Khan,India,1969,152 min,Dramas; International Movies; Romantic Movies
s8636,movie,True Grit,Henry Hathaway,John Wayne; Glen Campbell; Kim Darby; Jeremy Slate; Robert Duvall; Dennis Hopper; Alfred Ryder; Strother Martin; Jeff Corey,United States,1969,128 min,Classic Movies; Dramas
s8261,movie,The Cruise,Marek Piwowski,Jan Himilsbach; Stanislaw Tym; Jerzy Dobrowolski; Zdzislaw Maklakiewicz; Andrzej Dobosz; Feridun Erol; Jolanta Lothe; Wanda Stanisawska-Lothe,Poland,1970,66 min,Comedies; Cult Movies; International Movies
s2377,movie,The Land,Youssef Chahine,Hamdy Ahmed; Nagwa Ibrahim; Ezzat El Alaili; Tawfik El Deken; Yehia Chahine; Mahmoud El Meleigy; Salah El-Saadany; Ali El Sherif,Egypt,1970,130 min,Classic Movies; Dramas; International Movies
s6032,movie,A Clockwork Orange,Stanley Kubrick,Malcolm McDowell; Patrick Magee; Michael Bates; Warren Clarke; Adrienne Corri; Paul Farrell; Miriam Karlin; James Marcus,United Kingdom; United States,1971,137 min,Classic Movies; Cult Movies; Dramas
s5546,movie,Elaan,K. Ramanlal,Vinod Mehra; Rekha; Vinod Khanna; Helen; Madan Puri; Brahm Bhardwaj,India,1971,143 min,Action & Adventure; Cult Movies; International Movies
s6747,movie,Fiddler on the Roof,Norman Jewison,Topol; Norma Crane; Leonard Frey; Molly Picon; Paul Mann; Rosalind Harris; Michele Marsh; Neva Small; Paul Michael Glaser; Ray Lovelock,United States,1971,181 min,Classic Movies; Dramas; Music & Musicals
s5397,movie,Lal Patthar,Sushil Majumdar,Raaj Kumar; Hema Malini; Rakhee Gulzar; Vinod Mehra; Asit Kumar Sen; Paintal; Dulari; Chandramohan; Sujata Bakshi; Meena T.,India,1971,153 min,Classic Movies; Dramas; International Movies
s8746,movie,Willy Wonka & the Chocolate Factory,Mel Stuart,Gene Wilder; Jack Albertson; Peter Ostrum; Roy Kinnear; Julie Dawn Cole; Leonard Stone; Denise Nickerson; Dodo Denney; Paris Themmen; Ursula Reit,United States; East Germany; West Germany,1971,100 min,Children & Family Movies; Classic Movies; Comedies
s6255,movie,Bawarchi,Hrishikesh Mukherjee,Rajesh Khanna; A.K. Hangal; Durga Khote; Jaya Bhaduri; Kali Bannerjee; Usha Kiran; Asrani; Paintal,India,1972,125 min,Classic Movies; Comedies; Dramas
s717,movie,FTA,Francine Parker,Jane Fonda; Donald Sutherland; Pamela Donegan; Len Chandler; Michael Alaimo; Holly Near; Paul Mooney; Rita Martinson,United States,1972,104 min,Documentaries
s7225,movie,Koshish,Gulzar,Sanjeev Kumar; Jaya Bhaduri; Asrani; Seema; Om Shivpuri; Dina Pathak,India,1972,115 min,International Movies; Romantic Movies
s8128,movie,Superfly,Gordon Parks,Ron O'Neal; Carl Lee; Sheila Frazier; Julius Harris; Charles McGregor; Nate Adams; Polly Niles; Yvonne Delaine,United States,1972,91 min,Action & Adventure; Classic Movies; Dramas
s6351,movie,Bobby,Raj Kapoor,Rishi Kapoor; Dimple Kapadia; Pran; Prem Nath; Sonia Sahni; Durga Khote; Aruna Irani; Prem Chopra; Farida Jalal,India,1973,168 min,Classic Movies; Dramas; International Movies
s6449,movie,Charlotte's Web,Charles A. Nichols; Iwao Takamoto,Debbie Reynolds; Charles Nelson Reilly; Paul Lynde; Henry Gibson; Rex Allen; Danny Bonaduce; Pamelyn Ferdin; Don Messick; Agnes Moorehead; Martha Scott; John Stephenson; Herb Vigran; Dave Madden,United States,1973,94 min,Children & Family Movies; Classic Movies
s6497,movie,Cleopatra Jones,Jack Starrett,Tamara Dobson; Bernie Casey; BrendaSykes; Esther Rolle; Shelley Winters,United States,1973,89 min,Action & Adventure; Classic Movies
s6702,movie,Enter the Dragon,Robert Clouse,Bruce Lee; John Saxon; Jim Kelly; Ahna Capri; Kien Shih; Robert Wall; Angela Mao; Betty Chung; Geoffrey Weeks; Bolo Yeung; Peter Archer,Hong Kong; United States,1973,103 min,Action & Adventure; Classic Movies
s7123,movie,Jealousy and medicine,Janusz Majewski,Mariusz Dmochowski; Ewa Krzyewska; Wodzimierz Boruski; Andrzej Mrowiec; Jzef Rosiski; Piotr Kkolewski; Beata Nowicka; Edmund Fetting; Grayna Staniszewska; Andrzej apicki,Poland,1973,97 min,Dramas; International Movies; Romantic Movies
s7131,movie,Jimi Hendrix,Joe Boyd,Jimi Hendrix; Eric Clapton; Billy Cox,United States,1973,102 min,Documentaries; Music & Musicals
s5301,movie,Khoon Khoon,Mohammed Hussain,Danny Denzongpa; Mahendra Sandhu; Rekha; Faryal; Helen; Jagdeep,India,1973,132 min,Action & Adventure; International Movies
s7432,movie,Mean Streets,Martin Scorsese,Robert De Niro; Harvey Keitel; David Proval; Amy Robinson; Richard Romanus; Cesare Danova; Victor Argo; George Memmoli,United States,1973,112 min,Classic Movies; Dramas; Independent Movies
s2492,movie,The School of Mischief,Houssam El-Din Mustafa,Suhair El-Babili; Adel Emam; Saeed Saleh; Younes Shalabi; Hadi El-Gayyar; Ahmad Zaki; Hassan Moustafa,Egypt,1973,253 min,Comedies; Dramas; International Movies
s8793,movie,Young Tiger,Mu Chu,Qiu Yuen; Charlie Chin; Jackie Chan; Hu Chin; Nan Chiang,Hong Kong,1973,81 min,Action & Adventure; International Movies
s6112,movie,Alice Doesn't Live Here Anymore,Martin Scorsese,Ellen Burstyn; Kris Kristofferson; Billy Green Bush; Diane Ladd; Harvey Keitel; Lelia Goldoni; Lane Bradbury; Vic Tayback; Jodie Foster; Alfred Lutter,United States,1974,112 min,Classic Movies; Comedies; Dramas
s7059,movie,Immoral Tales,Walerian Borowczyk,Lise Danvers; Fabrice Luchini; Charlotte Alexandra; Paloma Picasso; Pascale Christophe; Florence Bellamy; Jacopo Berinizi; Lorenzo Berinizi,France,1974,103 min,Dramas; International Movies; Romantic Movies
s5304,movie,Manoranjan,Shammi Kapoor,Sanjeev Kumar; Zeenat Aman; Shammi Kapoor; Dev Kumar; Madan Puri; Paintal; Asit Kumar Sen; Agha; Murad; Shefali,India,1974,162 min,Comedies; International Movies; Music & Musicals
s7826,movie,Rajnigandha,Basu Chatterjee,Vidya Sinha; Amol Palekar; Dinesh Thakur; Ranjita Thakur; Veena Gaud; Manju Maini,India,1974,104 min,Comedies; Dramas; Independent Movies
s8402,movie,The Longest Yard,Robert Aldrich,Burt Reynolds; Eddie Albert; Ed Lauter; James Hampton; Charles Tyner; Bernadette Peters; Richard Kiel; Joe Dorsey; Joe Jackson; Harry Caesar; John Steadman; Jim Nicholson; Tony Cacciotti,United States,1974,121 min,Classic Movies; Comedies; Sports Movies
s8528,movie,The Texas Chainsaw Massacre,Tobe Hooper,Gunnar Hansen; Jim Siedow; Marilyn Burns; Edwin Neal; Paul A. Partain; Teri McMinn; William Vail; John Dugan; John Henry Faulk; Allen Danziger,United States,1974,83 min,Cult Movies; Horror Movies; Independent Movies
s1818,movie,Beirut Oh Beirut,Maroun Baghdadi,Ezzat El Alaily; Mireille Maalouf; Joseph Bou Nassar; Elie Adabachi; Philippe Akiki; Ahmed Al Zein,Lebanon,1975,106 min,Classic Movies; Dramas; International Movies
s6486,movie,Chupke Chupke,Hrishikesh Mukherjee,Dharmendra; Sharmila Tagore; Amitabh Bachchan; Jaya Bhaduri; Om Prakash; Asrani; David Abraham; Usha Kiran; Lily Chakravarty; Keshto Mukherjee,India,1975,127 min,Classic Movies; Comedies; International Movies
s7008,movie,Hotel Pacific,Janusz Majewski,Marek Kondrat; Roman Wilhelmi; Roman Skamene; estmr anda; Micha Pawlicki; Martin Hron; Stanisawa Celiska; Joanna Kasperska; Jaroslava Schallerov,Poland;,1975,96 min,Classic Movies; Dramas; International Movies
s42,movie,Jaws,Steven Spielberg,Roy Scheider; Robert Shaw; Richard Dreyfuss; Lorraine Gary; Murray Hamilton; Carl Gottlieb; Jeffrey Kramer; Susan Backlinie; Jonathan Filley; Ted Grossman,United States,1975,124 min,Action & Adventure; Classic Movies; Dramas
s4218,movie,Monty Python and the Holy Grail,Terry Gilliam; Terry Jones,Graham Chapman; John Cleese; Eric Idle; Terry Gilliam; Terry Jones; Michael Palin; Connie Booth; Carol Cleveland; Neil Innes,United Kingdom,1975,92 min,Action & Adventure; Classic Movies; Comedies
s5550,movie,Salaakhen,A. Salaam,Shashi Kapoor; Sulakshana Pandit; Mehmood; Sudhir; Anjana Mumtaz; Sajjan; M. Rajan; Mac Mohan; Amrish Puri; Ramesh Deo,India,1975,134 min,Action & Adventure; International Movies; Music & Musicals
s8307,movie,The Flying Guillotine,Meng Hua Ho,Kuan Tai Chen; Feng Ku; Hung Wei; Wu Chi Liu; Yang Chiang,Hong Kong,1975,101 min,Action & Adventure; Dramas; International Movies
s6424,movie,Carrie,Brian De Palma,Sissy Spacek; Piper Laurie; Amy Irving; William Katt; John Travolta; Nancy Allen; Betty Buckley; P.J. Soles; Priscilla Pointer; Sydney Lassick; Stefan Gierasch; Michael Talbott; Doug Cox; Harry Gold; Noelle North,United States,1976,98 min,Classic Movies; Cult Movies; Horror Movies
s5296,movie,Chadi Jawani Budhe Nu,Unknown,Anand,India,1976,135 min,Comedies; International Movies; Romantic Movies
s6961,movie,Hera Pheri,Prakash Mehra,Amitabh Bachchan; Vinod Khanna; Saira Banu; Sulakshana Pandit; Shreeram Lagoo; Pinchoo Kapoor; P. Jairaj; Yunus Parvez,India,1976,156 min,Action & Adventure; Comedies; Dramas
s7331,movie,Logan's Run,Michael Anderson,Michael York; Richard Jordan; Farrah Fawcett; Jenny Agutter; Peter Ustinov; Roscoe Lee Browne; Randolph Roberts; Gary Morgan; Greg Lewis,United States,1976,118 min,Action & Adventure; Classic Movies; Cult Movies
s530,movie,Return of the Prodigal Son,Youssef Chahine,Majida El Roumi; Souheir El Morshidy; Shoukry Sarhan; Huda Sultan; Mahmoud El Meleigy; Ahmad Mehrez; Hesham Selim,Egypt,1976,124 min,Dramas; International Movies
s7880,movie,Rocky,John G. Avildsen,Sylvester Stallone; Talia Shire; Burt Young; Carl Weathers; Burgess Meredith; Thayer David; Joe Spinell; Jimmy Gambina; Bill Baldwin,United States,1976,120 min,Action & Adventure; Classic Movies; Dramas
s8064,movie,Sparkle,Sam O'Steen,Tony King; Mary Alice; Irene Cara; Dorian Harewood; Paul Lambert; Beatrice Winde; Lonette McKee,United States,1976,98 min,Dramas; Music & Musicals
s820,movie,The Outlaw Josey Wales,Clint Eastwood,Clint Eastwood; Sondra Locke; Chief Dan George; Bill McKinney; John Vernon; Paula Trueman; Sam Bottoms; Geraldine Keams; Woodrow Parfrey; Joyce Jameson,United States,1976,136 min,Action & Adventure; Classic Movies
s2493,movie,The Witness Who Didn't See Anything,Muhammad Fadl; Hany Motawie,Adel Imam; Nahed Gabr; Omar El-Hariri; Nazim Sharawy; Badr Nofal; Saeed Tarabeek; Hala Fakher; Samir Waley Eldein; Sami Gawhar; Shawqi Shamekh; Nasr Seif,Egypt,1976,157 min,Comedies; International Movies
s6031,movie,A Bridge Too Far,Richard Attenborough,Dirk Bogarde; James Caan; Michael Caine; Sean Connery; Edward Fox; Elliott Gould; Gene Hackman; Anthony Hopkins; Hardy Krger; Laurence Olivier; Ryan O'Neal; Robert Redford; Maximilian Schell; Liv Ullmann,United States; United Kingdom,1977,176 min,Action & Adventure; Classic Movies; Dramas
s6131,movie,Amar Akbar Anthony,Manmohan Desai,Vinod Khanna; Rishi Kapoor; Amitabh Bachchan; Neetu Singh; Parveen Babi; Shabana Azmi; Nirupa Roy; Pran,India,1977,172 min,Action & Adventure; Classic Movies; Comedies
s6782,movie,For the Love of Benji,Joe Camp,Patsy Garrett; Cynthia Smith; Allen Fiuzat; Ed Nelson; Art Vasil; Peter Bowles; Bridget Armstrong; Mihalis Lambrinos; Dean Goss; Tony Alatis,United States,1977,84 min,Children & Family Movies
s8137,movie,Swami,Basu Chatterjee,Shabana Azmi; Girish Karnad; Vikram; Dheeraj Kumar; Shashikala; Utpal Dutt; Preeti Ganguli; Sudha Shivpuri,India,1977,123 min,Dramas; Independent Movies; International Movies
s8238,movie,The Car,Elliot Silverstein,James Brolin; Kathleen Lloyd; John Marley; R.G. Armstrong; John Rubinstein; Elizabeth Thompson; Roy Jenson; Kim Richards; Kyle Richards,United States,1977,96 min,Cult Movies; Horror Movies
s5187,movie,Bandie,Alo Sarkar,Uttam Kumar; Sulakshana Pandit; Utpal Dutt; Bindu; Amjad Khan; Helen; Indrani Mukherjee; Padma Khanna; Iftekhar,India,1978,141 min,Action & Adventure; Dramas; International Movies
s6285,movie,Benji's Very Own Christmas Story,Joe Camp,Ron Moody; Patsy Garrett; Cynthia Smith,United States,1978,25 min,Children & Family Movies
s6772,movie,Flying Guillotine 2,Kang Cheng; Shan Hua,Feng Ku; Chung Wang; Szu Shih; Lung Ti; Lo Lieh; Szu-Chia Chen,Hong Kong,1978,88 min,Action & Adventure; International Movies
s6894,movie,Grease,Randal Kleiser,John Travolta; Olivia Newton-John; Stockard Channing; Jeff Conaway; Barry Pearl; Michael Tucci; Kelly Ward; Didi Conn; Jamie Donnelly; Dinah Manoff; Eve Arden; Dody Goodman; Sid Caesar; Joan Blondell; Frankie Avalon,United States,1978,110 min,Classic Movies; Comedies; Music & Musicals
s43,movie,Jaws 2,Jeannot Szwarc,Roy Scheider; Lorraine Gary; Murray Hamilton; Joseph Mascolo; Jeffrey Kramer; Collin Wilcox Paxton; Ann Dusenberry; Mark Gruner; Barry Coe; Susan French,United States,1978,116 min,Dramas; Horror Movies; Thrillers
s8304,movie,The Five Venoms,Cheh Chang,Philip Kwok; Chien Sun; Sheng Chiang; Feng Lu; Meng Lo; Pai Wei; Lung Wei Wang; Feng Ku; Shu Pei Sun; Sun Chien,Hong Kong,1978,97 min,Action & Adventure; Cult Movies; International Movies
s8515,movie,The spiral,Krzysztof Zanussi,Jan Nowicki; Maja Komorowska; Zofia Kucwna; Aleksander Bardini; Jan widerski; Seweryna Broniszwna; Piotr Garlicki; Marian Glinka,Poland,1978,84 min,Dramas; Independent Movies; International Movies
s2366,movie,Alexandria ... Why?,Youssef Chahine,Naglaa Fathi; Farid Shawqy; Mohsen Mohiedine; Ezzat El Alaili; Abdalla Mahmoud; Youssef Wahby; Yehia Chahine; Laila Fawzy; Mahmoud El Meleigy; Ahmed Zaki; Gerry Sundquist,Egypt; Algeria,1979,131 min,Classic Movies; Dramas; International Movies
s6865,movie,Gol Maal,Hrishikesh Mukherjee,Amol Palekar; Bindiya Goswami; Deven Verma; Utpal Dutt; Shubha Khote; Manju Singh; Dina Pathak; Pushpa; David Abraham; Asrani,India,1979,137 min,Classic Movies; Comedies; International Movies
s4862,movie,Lupin the 3rd: The Castle of Cagliostro: Special Edition,Hayao Miyazaki,Yasuo Yamada; Kiyoshi Kobayashi; Eiko Masuyama; Makio Inoue; Goro Naya; Sumi Shimamoto; Taro Ishida; Kohei Miyauchi; Ichiro Nagai,Japan,1979,100 min,Action & Adventure; Anime Features; Classic Movies
s7368,movie,Mad Max,George Miller,Mel Gibson; Joanne Samuel; Hugh Keays-Byrne; Steve Bisley; Tim Burns; Roger Ward; Lisa Aldenhoven; Bertrand Cadart,Australia; United States,1979,93 min,Action & Adventure; Classic Movies; Cult Movies
s4553,movie,Monty Python's Life of Brian,Terry Jones,Graham Chapman; John Cleese; Terry Gilliam; Eric Idle; Terry Jones; Michael Palin; Terence Bayler; Carol Cleveland,United Kingdom,1979,94 min,Classic Movies; Comedies; Cult Movies
s2488,movie,No Longer kids,Samir Al Asfory,Said Saleh; Hassan Moustafa; Ahmed Zaki; Younes Shalabi; Nadia Shukri; Karima Mokhtar,Egypt,1979,237 min,Comedies; Dramas; International Movies
s5705,movie,Richard Pryor: Live in Concert,Jeff Margolis,Richard Pryor,United States,1979,79 min,Stand-Up Comedy
s7881,movie,Rocky II,Sylvester Stallone,Sylvester Stallone; Talia Shire; Burt Young; Carl Weathers; Burgess Meredith; Tony Burton; Joe Spinell; Leonard Gaines; John Pleshette; Sylvia Meals,United States,1979,119 min,Dramas; Sports Movies
s8333,movie,The Great Gambler,Shakti Samanta,Amitabh Bachchan; Zeenat Aman; Neetu Singh; Prem Chopra; Utpal Dutt; Madan Puri; Om Shivpuri; Iftekhar; Sujit Kumar; Roopesh Kumar,India,1979,161 min,Action & Adventure; Classic Movies; Cult Movies
s5080,movie,Alibaba Aur 40 Chor,Latif Faiziyev; Umesh Mehra,Dharmendra; Hema Malini; Zeenat Aman; Rolan Bykov; Prem Chopra; Yakub Akhmedov; Madan Puri; Sofiko Chiaureli,Soviet Union; India,1980,147 min,Action & Adventure; International Movies; Sci-Fi & Fantasy
s2724,movie,Friendship,Raj Khosla,Amitabh Bachchan; Shatrughan Sinha; Zeenat Aman; Prem Chopra; Amrish Puri; Helen; Pran; Gajanan Jagirdar; Sajjan; Iftekhar,India,1980,161 min,Action & Adventure; Dramas; International Movies
s7189,movie,Khubsoorat,Hrishikesh Mukherjee,Ashok Kumar; Rekha; Rakesh Roshan; Shashikala; Aradhana; Dina Pathak; David Abraham; S.N. Banerjee; Keshto Mukherjee,India,1980,120 min,Classic Movies; Comedies; Dramas
s7753,movie,Playing for Time,Daniel Mann; Joseph Sargent,Vanessa Redgrave; Jane Alexander; Maud Adams; Donna Haley; Robin Bartlett; Marisa Berenson; Will Lee; Verna Bloom; Christine Baranski; Lenore Harris,United States,1980,149 min,Dramas
s7756,movie,Popeye,Robert Altman,Robin Williams; Shelley Duvall; Ray Walston; Paul Dooley; Paul L. Smith; Richard Libertini; Donald Moffat; Macintyre Dixon; Roberta Maxwell; Donovan Scott,United States,1980,114 min,Action & Adventure; Children & Family Movies; Comedies
s7821,movie,Raging Bull,Martin Scorsese,Robert De Niro; Cathy Moriarty; Joe Pesci; Frank Vincent; Nicholas Colasanto; Theresa Saldana; Mario Gallo; Frank Adonis; Joseph Bono,United States,1980,129 min,Classic Movies; Dramas; Sports Movies
s7861,movie,Return To The 36th Chamber,Chia-Liang Liu,Gordon Liu; Lung Wei Wang; Hou Hsiao; Lun Hua; Yeong-mun Kwon; Kara Hui; Szu-Chia Chen; Tsui Ling Yu; Wei Hao Teng; Gong Shih,Hong Kong,1980,97 min,Action & Adventure; Comedies; International Movies
